words,incorrect_count,correct_count,meaning,synonym,antonym
depth,0,0,"{'Noun': ['the extent downward or backward or inward', 'degree of psychological or intellectual profundity', '(usually plural', 'the intellectual ability to penetrate deeply into ideas', 'the attribute or quality of being deep, strong, or intense']}",None,None
forgetting,0,0,"{'Verb': ['dismiss from the mind; stop remembering', 'be unable to remember', 'forget to do something', 'leave behind unintentionally']}",None,None
example,0,0,"{'Noun': ['an item of information that is typical of a class or group', 'a representative form or pattern', 'something to be imitated', 'punishment intended as a warning to others', 'an occurrence of something', 'a task performed or problem solved in order to develop skill or understanding']}",None,None
educate,0,0,"{'Verb': ['give an education to', 'create by training and teaching', 'teach or refine to be discriminative in taste or judgment']}",None,None
entire,0,0,"{'Noun': ['uncastrated adult male horse'], 'Adjective': ['constituting the full quantity or extent; complete', 'constituting the undiminished entirety; lacking nothing essential especially not damaged', '(of leaves or petals', '(used of domestic animals']}",None,None
horizon,0,0,"{'Noun': ['the line at which the sky and Earth appear to meet', 'the range of interest or activity that can be anticipated', 'a specific layer or stratum of soil or subsoil in a vertical cross section of land', 'the great circle on the celestial sphere whose plane passes through the sensible horizon and the center of the Earth']}",None,None
freight,0,0,"{'Noun': ['goods carried by a large vehicle', 'transporting goods commercially at rates cheaper than express rates', 'the charge for transporting something by common carrier'], 'Verb': ['transport commercially as cargo', 'load with goods for transportation']}",None,None
earliest,0,0,"{'Adjective': [""(comparative and superlative of `early'"", 'at or near the beginning of a period of time or course of events or before the usual or expected time', 'being or occurring at an early stage of development', 'belonging to the distant past', 'very young', 'of an early stage in the development of a language or literature', 'expected in the near future'], 'Adverb': ['with the least delay', 'during an early stage', 'before the usual time or the time expected', 'in good time']}",None,None
threat,0,0,"{'Noun': ['something that is a source of danger', 'a warning that something unpleasant is imminent', 'declaration of an intention or a determination to inflict harm on another', 'a person who inspires fear or dread']}",None,None
relieve,0,0,"{'Verb': ['provide physical relief, as from pain', 'free someone temporarily from his or her obligations', 'grant relief or an exemption from a rule or requirement to', 'lessen the intensity of or calm', 'save from ruin, destruction, or harm', 'relieve oneself of troubling information', 'provide relief for', 'free from a burden, evil, or distress', 'take by stealing', 'grant exemption or release to', 'alleviate or remove (pressure or stress']}",None,None
muscle,0,0,"{'Noun': ['one of the contractile organs of the body', 'animal tissue consisting predominantly of contractile cells', 'a bully employed as a thug or bodyguard', 'authority or power or force (especially when used in a coercive way', 'possessing muscular strength'], 'Verb': [""make one's way by force""]}",None,None
